"age","gender","pre_ideology_1","pre_economic_situation","pre_political_interest","pre_religion_importance","total_museums","pre_conf_gov","pre_inst_gov","pre_current_ineq","pre_positive","pre_negative","treatmentgroup","f3","democracy"
21,2,6,0,1,2,4,0,0,3,7,6,1,0,1
20.98846154,1,6,3,0,0,1,1,0,4,22,5,1,0,3
21,1,9,3,3,3,6,1,0,1,34,4,0,0,2
21,2,4,2,1,0,6,1,0,4,7,13,0,1,1
19,1,3,2,2,1,5,2,0,4,27,13,1,0,1
22,2,5,2,1,0,3,2,0,4,18,2,1,0,2
19,2,6,2,3,2,4,0,0,4,14,6,1,0,1
21,1,4,3,1,2,3,1,0,4,23,5,1,1,1
20,1,8,4,1,0,3,3,1,4,22,6,0,1,1
21,2,5,1,2,0,8,1,0,4,5,6,0,1,1
23,2,6,3,2,2,2,1,0,4,25,4,0,0,1
19,1,5,2,2,3,7,1,0,3,19,9,1,0,1
21,2,8,4,2,3,3,0,0,4,22,7,1,1,2
21,2,2,2,2,1,9,1,0,4,8,0,0,1,2
21,2,3,1,1,1,4,0,0,3,11,24,1,0,1
21,2,8,3,1,2,3,1,0,3,7,2,0,1,1
21,2,5,2,1,2,3,2,1,3,22,9,1,0,2
21,1,5,2,1,2,4,1,0,4,28,13,0,1,1
20,1,5,1,1,2,1,0,0,4,9,7,0,0,0
20,2,5,2,1,0,1,1,0,4,16,5,0,1,2
24,2,4,3,2,3,9,1,0,4,8,2,1,1,1
22,2,5,2,1,3,2,1,0,4,18,4,0,1,1
21,1,5,3,2,2,4,2,1,4,22,6,1,1,1
20,1,7,3,2,2,7,1,0,2,18,9,0,0,2
20,1,1,3,1,0,5,1,0,4,19,2,0,1,1
21,2,6,2,1,1,2,2,1,3,20,3,0,0,1
32,2,9,2,2,2,5,0,0,4,14,0,1,0,1
22,1,5,3,0,0,3,1,0,4,10,3,0,0,1
19,1,3,2,1,3,4,1,0,4,29,9,0,0,1
20,2,8,1,2,3,5,0,0,4,26,5,0,1,1
21,2,6,3,1,2,2,2,0,4,25,12,1,0,1
19,2,3,2,2,1,6,1,0,4,22,13,1,1,1
20,2,2,1,2,3,2,1,0,4,28,2,0,1,1
21,2,5,3,1,1,4,2,0,3,25,6,1,1,0
21,2,3,2,1,2,2,1,0,3,16,2,1,1,1
20,2,4,2,2,2,9,2,1,4,33,4,1,1,2
18,1,8,1,1,2,7,1,1,4,30,5,0,0,1
19,2,5,3,2,3,5,1,1,3,38,22,0,1,1
21,2,5,2,1,3,5,0,0,3,23,4,0,0,1
24,1,5,1,2,3,7,1,0,4,16,8,1,1,1
21,2,7,3,1,3,5,1,0,4,26,2,1,1,1
19,2,3,3,2,2,7,1,0,4,24,2,0,1,1
20,2,3,3,1,1,6,3,0,4,16,3,0,1,1
21,2,5,2,1,2,1,1,0,4,24,9,1,1,1
22,1,4,3,2,1,4,1,0,0,33,4,1,0,2
21,2,7,1,2,3,6,1,0,4,14,1,1,0,2
20,2,4,3,2,3,9,2,0,4,26,8,0,0,2
19,1,5,2,1,0,9,1,0,3,24,26,0,0,1
19,2,6,2,2,2,10,1,0,4,24,19,1,1,1
21,2,5,3,1,2,6,2,0,3,18,7,1,0,2
23,2,6,2,0,0,4,0,0,3,14,5,1,1,1
19,2,7,3,1,2,1,0,0,4,11,9,1,1,1
20,1,4,2,1,1,6,1,0,3,25,5,1,1,1
22,2,5,1,1,0,8,0,0,4,17,7,1,1,2
21,2,9,4,1,1,7,1,0,4,25,5,0,0,0
21,2,2,4,2,0,8,1,0,4,17,2,0,0,1
42,2,4,1,2,3,9,1,0,4,6,0,0,1,1
42,2,7,3,2,2,8,0,0,4,30,3,0,1,1
21,2,4,3,2,2,6,1,0,4,3,0,0,1,1
21,2,4,4,1,0,6,1,1,4,16,14,0,1,1
20,2,4,2,2,0,4,1,0,4,24,9,1,1,1
19,1,4,2,2,1,6,1,0,4,27,8,1,0,2
20,2,5,3,1,2,4,1,0,4,22,5,0,0,1
20.98846154,2,7,2,2,1,7,1,0,4,20,5,1,0,1
20,1,6,4,1,2,9,0,0,4,21,5,0,0,1
20.98846154,2,6,2,1,1,4,0,0,4,16,3,1,1,1
20,2,0,2,3,1,6,1,0,4,28,3,0,1,1
20,2,5,2,2,2,4,2,1,4,13,5,1,1,2
